epoch,loss,lr,train_logloss,train_accuracy,train_balanced_accuracy,valid_logloss,valid_accuracy,valid_balanced_accuracy
0,0.9391647831738347,0.02,0.3924988460835988,0.8421649725501821,0.7900686999120414,0.394352655338011,0.8401826484018264,0.7882442399785976
1,0.43570030136415133,0.02,0.23696846878446587,0.8971216172303903,0.8795417565749943,0.23863703625097732,0.8969267867220769,0.8784239583354247
2,0.3443874380393337,0.02,0.1815029948703567,0.9221400026224125,0.9113805107192137,0.18501869838903579,0.9208352572982401,0.9102067576682615
3,0.3008507366417446,0.02,0.15657295079366365,0.9369395305881616,0.9308119758532934,0.16246729350574152,0.9342517059155508,0.9278654271654903
4,0.27182954209938376,0.02,0.1383146389608737,0.9447982167594963,0.9410350383550579,0.1457240661297128,0.9410753681186188,0.9383365154447987
5,0.257649200614433,0.02,0.13429106154564385,0.9460666662866068,0.9441981505350283,0.1427982951135822,0.9428454158329486,0.9417939726521927
6,0.252034667465422,0.02,0.1276335558906697,0.9492021594996893,0.9476343745547253,0.13653613787147945,0.9455133138371556,0.9442371424272296
7,0.2428028977405258,0.02,0.1265794752809415,0.9491480009805542,0.9475948291187977,0.13792384748491,0.9441024062387768,0.9424417780467135
8,0.23925276780337618,0.02,0.12406314441623895,0.9511632679820536,0.94698321636446,0.13522280324452285,0.946795957108409,0.9433344684470357
9,0.2368670417028561,0.02,0.11750319124084734,0.9537828300391651,0.9538389716204125,0.13111655336390407,0.9473859730131855,0.9475700323700602
10,0.23319281184533883,0.019,0.11933553363016769,0.9526740056210842,0.9488102214235228,0.13426850651410271,0.9472064029552101,0.9434079857778966
11,0.22808066359040333,0.019,0.11529528531372465,0.9543329665756424,0.9522474380633812,0.13131129394974828,0.9493099379200657,0.947841853114755
12,0.22513649974301544,0.019,0.11225535420605964,0.9556926304507699,0.9542616433833455,0.12963902715714806,0.9483864347647633,0.9470202608115892
13,0.223783040255831,0.019,0.11097666570072603,0.956188608468112,0.9546187408448119,0.12900493715742903,0.9493099379200656,0.9475337764446328
14,0.22425355470319938,0.019,0.11093820960717617,0.955983376185074,0.9539952543200123,0.13137854824551606,0.9480272946488122,0.9457962975264605
15,0.2216640956569136,0.019,0.10828356151081703,0.9577877100067841,0.9554092620576355,0.12758902622533372,0.9491303678620902,0.9459679013489224
16,0.2215449347307808,0.019,0.1047999447943901,0.9592214855396753,0.9564751209036939,0.12630840155009615,0.9499512595556924,0.9463994508721361
17,0.21922707923671655,0.019,0.10394238358955833,0.9589734965310044,0.9570525492170278,0.12724110945696654,0.9497203837668668,0.946578685911985
18,0.21887954590264816,0.019,0.10800143466139639,0.9574428057533451,0.9549344476062083,0.13381892549554655,0.9481812118413626,0.944445580691615
19,0.21669106455574258,0.019,0.10310830054485239,0.9596718563830091,0.9592250352473777,0.13007049625325237,0.9488225334769893,0.9472178936413371
20,0.2142653441742847,0.01805,0.10330050781120384,0.9595293339642326,0.9583171538810237,0.12823196207098495,0.9484377404956134,0.9465350253687586
21,0.21264489308783882,0.01805,0.1016242376201118,0.9602020397808575,0.9583198038674585,0.13026230339224656,0.9490277564003899,0.9461829656890088
