epoch,loss,lr,train_mse,train_mae,train_rmse,valid_mse,valid_mae,valid_rmse
0,0.385273646918081,0.009490014717933306,0.21931605,0.33289248,0.4683119,0.22017029,0.3332094,0.46922308
1,0.14405899885154905,0.009490014717933306,0.19637345,0.3136985,0.44314045,0.19744731,0.314099,0.44435045
2,0.1383144009326186,0.009490014717933306,0.18615218,0.30790612,0.43145356,0.18714581,0.3082262,0.43260354
3,0.13452512753151716,0.009490014717933306,0.1828688,0.30066392,0.42763162,0.18403822,0.30111447,0.42899677
4,0.13212322363896029,0.009490014717933306,0.17683233,0.29977593,0.42051437,0.1781432,0.30038399,0.42207015
5,0.12996886688328924,0.009490014717933306,0.17351753,0.29619867,0.41655436,0.17504908,0.29694337,0.41838866
6,0.12871454868997848,0.009490014717933306,0.17158622,0.2974071,0.41422966,0.17325212,0.2982138,0.41623566
7,0.126870093246301,0.009490014717933306,0.16960967,0.29375648,0.41183695,0.17151856,0.29473776,0.414148
8,0.12620442671080437,0.009490014717933306,0.16779321,0.29649913,0.4096257,0.17012314,0.29770526,0.41245988
9,0.12502268577615422,0.009490014717933306,0.16689587,0.2918816,0.4085289,0.16916138,0.29313427,0.4112923
10,0.1241729339318616,0.00901551398203664,0.16478387,0.2940563,0.4059358,0.16711406,0.29543394,0.40879586
11,0.12336803875153973,0.00901551398203664,0.16416411,0.2940055,0.4051717,0.1668302,0.29556358,0.40844852
12,0.12287273976419653,0.00901551398203664,0.16306841,0.29135445,0.4038173,0.16596447,0.29304397,0.40738738
13,0.12206622603393737,0.00901551398203664,0.16218649,0.28979492,0.40272385,0.16543022,0.2917263,0.40673113
14,0.12144033362468083,0.00901551398203664,0.16145132,0.28727585,0.40181005,0.1647872,0.28936687,0.4059399
15,0.12054293868797165,0.00901551398203664,0.16042416,0.28783047,0.40052986,0.16407792,0.2900933,0.40506533
16,0.11995962528245789,0.00901551398203664,0.15826596,0.28658655,0.39782655,0.16241956,0.28938794,0.4030131
17,0.1196193994865531,0.00901551398203664,0.1586444,0.28466877,0.3983019,0.16259244,0.28726423,0.40322754
18,0.11877723126893952,0.00901551398203664,0.15761638,0.28588858,0.39700928,0.16228019,0.2889295,0.40284014
19,0.11861175467215833,0.00901551398203664,0.15700711,0.2838482,0.39624122,0.16157953,0.28683153,0.40196958
20,0.11744927650406248,0.008564738282934808,0.15559873,0.28433147,0.39446005,0.16071975,0.28775215,0.4008987
21,0.11723811117311318,0.008564738282934808,0.15456915,0.2825762,0.39315283,0.16050752,0.286561,0.4006339
22,0.1166491440186898,0.008564738282934808,0.15514626,0.28073868,0.3938861,0.16152287,0.28511673,0.40189907
23,0.11634702199981325,0.008564738282934808,0.15261759,0.28277302,0.390663,0.15906298,0.2872418,0.39882702
24,0.11585693566926888,0.008564738282934808,0.15287475,0.2813662,0.39099202,0.16005746,0.28640708,0.4000718
25,0.11542378481300104,0.008564738282934808,0.15233447,0.27821058,0.39030048,0.16040474,0.28368202,0.4005056
26,0.11522668032419114,0.008564738282934808,0.15031552,0.27919057,0.38770545,0.15962124,0.2857575,0.39952627
27,0.11422182672790118,0.008564738282934808,0.15143898,0.2771656,0.3891516,0.16050906,0.2832971,0.40063584
28,0.11359561633850847,0.008564738282934808,0.14857724,0.27805158,0.3854572,0.15917514,0.28544432,0.3989676
29,0.11311552034957069,0.008564738282934808,0.14750923,0.27646184,0.3840693,0.15909788,0.28458196,0.39887077
30,0.11255550109559581,0.008136501368788067,0.14720163,0.2749816,0.38366863,0.15969275,0.28370145,0.39961576
31,0.11233057019611199,0.008136501368788067,0.14693128,0.2772725,0.38331616,0.15977302,0.2863369,0.39971617
32,0.11149187483603046,0.008136501368788067,0.14738351,0.2737797,0.3839056,0.16127367,0.28316295,0.40158895
33,0.11089985258877279,0.008136501368788067,0.14372371,0.27343613,0.3791091,0.1593709,0.2845254,0.39921284
