,Pearson coef,p-value
adt_CD39_pred,0.902,0.0
adt_CD107a_pred,0.767,0.0
adt_CD62P_pred,0.866,0.0
adt_TCR-2_pred,0.722,0.0
adt_CD30_pred,0.558,0.0
adt_CD31_pred,0.933,0.0
adt_CD34_pred,0.717,0.0
adt_CD35_pred,0.911,0.0
adt_CD36_pred,0.893,0.0
adt_CD223_pred,0.553,0.0
adt_TIGIT_pred,0.435,0.0
adt_TCR-V-9_pred,0.399,0.0
adt_CD226_pred,0.805,0.0
adt_CD178_pred,0.379,0.0
adt_CD319_pred,0.585,0.0
adt_CD171_pred,0.352,0.0
adt_Siglec-8_pred,0.709,0.0
adt_CD340_pred,0.267,1.481e-260
adt_VEGFR-3_pred,0.51,0.0
adt_CD29_pred,0.87,0.0
adt_CD62E_pred,0.28,1.849e-288
adt_CD4-2_pred,0.895,0.0
adt_CD4-1_pred,0.944,0.0
adt_CD22_pred,0.936,0.0
adt_CD3-1_pred,0.903,0.0
adt_CD20_pred,0.854,0.0
adt_CD27_pred,0.885,0.0
adt_CD45RB_pred,0.775,0.0
adt_CD25_pred,0.63,0.0
adt_CD24_pred,0.65,0.0
adt_CD146_pred,0.333,0.0
adt_Galectin-9_pred,0.551,0.0
adt_CD142_pred,0.492,0.0
adt_CD141_pred,0.79,0.0
adt_CD294_pred,0.501,0.0
adt_CD45RA_pred,0.809,0.0
adt_CX3CR1_pred,0.686,0.0
adt_CD56-2_pred,0.792,0.0
adt_CD56-1_pred,0.724,0.0
adt_CD45RO_pred,0.777,0.0
adt_CD303_pred,0.422,0.0
adt_GP130_pred,0.733,0.0
adt_CD253_pred,0.294,5.545e-318
adt_CD357_pred,0.585,0.0
adt_CD11b-1_pred,0.927,0.0
adt_CD354_pred,0.838,0.0
adt_CD11b-2_pred,0.951,0.0
adt_CLEC12A_pred,0.972,0.0
adt_CD38-2_pred,0.806,0.0
adt_CD38-1_pred,0.835,0.0
adt_Folate_pred,0.773,0.0
adt_CD209_pred,0.651,0.0
adt_CD152_pred,0.318,0.0
adt_CD154_pred,0.543,0.0
adt_CD155_pred,0.917,0.0
adt_Cadherin_pred,0.332,0.0
adt_CD201_pred,0.371,0.0
adt_CD204_pred,0.402,0.0
adt_CD205_pred,0.81,0.0
adt_CD206_pred,0.422,0.0
adt_CD207_pred,0.354,0.0
adt_CD1d_pred,0.785,0.0
adt_CD284_pred,0.343,0.0
adt_CD1c_pred,0.744,0.0
adt_Podoplanin_pred,0.463,0.0
adt_CD1a_pred,0.439,0.0
adt_CD366_pred,0.788,0.0
adt_IgD_pred,0.908,0.0
adt_IgM_pred,0.75,0.0
adt_CD66a/c/e_pred,0.581,0.0
adt_CD49d_pred,0.78,0.0
adt_LOX-1_pred,0.615,0.0
adt_TIM-4_pred,0.728,0.0
adt_CD98_pred,0.623,0.0
adt_CD370_pred,0.706,0.0
adt_CD49a_pred,0.754,0.0
adt_CD44-2_pred,0.795,0.0
adt_C5L2_pred,0.539,0.0
adt_CD44-1_pred,0.814,0.0
adt_CD158e1_pred,0.57,0.0
adt_CD124_pred,0.361,0.0
adt_CD127_pred,0.866,0.0
adt_CD126_pred,0.63,0.0
adt_CD279_pred,0.443,0.0
adt_CD278_pred,0.763,0.0
adt_CD123_pred,0.746,0.0
adt_CD122_pred,0.693,0.0
adt_CD96_pred,0.597,0.0
adt_CD274_pred,0.583,0.0
adt_CD95_pred,0.823,0.0
adt_CD271_pred,0.563,0.0
adt_CD270_pred,0.488,0.0
adt_CD90_pred,0.463,0.0
adt_CD272_pred,0.556,0.0
adt_CD16_pred,0.893,0.0
adt_CD14_pred,0.924,0.0
adt_CD15_pred,0.563,0.0
adt_CD13_pred,0.877,0.0
adt_CD267_pred,0.396,0.0
adt_CD26-2_pred,0.774,0.0
adt_CD200_pred,0.614,0.0
adt_CD26-1_pred,0.003,0.7075
adt_CD18_pred,0.908,0.0
adt_CD19_pred,0.959,0.0
adt_CD194_pred,0.751,0.0
adt_TCR-1_pred,0.432,0.0
adt_TCR-V-7.2_pred,0.562,0.0
adt_CD70_pred,0.467,0.0
adt_CD71_pred,0.83,0.0
adt_CD72_pred,0.943,0.0
adt_CD73_pred,0.805,0.0
adt_TCR-V-2_pred,0.751,0.0
adt_CD177_pred,0.255,7.761e-237
adt_CD301_pred,0.478,0.0
adt_CD140a_pred,0.375,0.0
adt_CD140b_pred,0.416,0.0
adt_CD305_pred,0.882,0.0
adt_CD304_pred,0.669,0.0
adt_CD2_pred,0.889,0.0
adt_CD309_pred,0.255,1.818e-236
adt_CD85g_pred,0.502,0.0
adt_CD110_pred,0.835,0.0
adt_CD8_pred,0.925,0.0
adt_CD9_pred,0.888,0.0
adt_HLA-DR_pred,0.846,0.0
adt_CD137_pred,0.361,0.0
adt_CD134_pred,0.382,0.0
adt_CD135_pred,0.292,1.466e-313
adt_CD61_pred,0.865,0.0
adt_CD192_pred,0.678,0.0
adt_CD268_pred,0.887,0.0
adt_CD269_pred,0.288,1.286e-305
adt_CD81_pred,0.547,0.0
adt_CD80_pred,0.327,0.0
adt_CD83_pred,0.545,0.0
adt_CD193_pred,0.434,0.0
adt_TSLPR_pred,0.406,0.0
adt_CD86_pred,0.921,0.0
adt_CCR10_pred,0.671,0.0
adt_Notch-1_pred,0.571,0.0
adt_Notch-2_pred,0.388,0.0
adt_CD337_pred,0.585,0.0
adt_CD79b_pred,0.639,0.0
adt_CD275-2_pred,0.781,0.0
adt_CD275-1_pred,0.743,0.0
adt_CD79a_pred,0.442,0.0
adt_CD49b_pred,0.877,0.0
adt_CD64_pred,0.955,0.0
adt_CD63_pred,0.889,0.0
adt_CD45-2_pred,0.793,0.0
adt_CD45-1_pred,0.627,0.0
adt_CD133-2_pred,0.503,0.0
adt_CD133-1_pred,0.503,0.0
adt_CD69_pred,0.808,0.0
adt_CD68_pred,0.698,0.0
adt_CD314_pred,0.763,0.0
adt_CD11a/CD18_pred,0.452,0.0
adt_CD186_pred,0.48,0.0
adt_CD185_pred,0.564,0.0
adt_CD184_pred,0.406,0.0
adt_CD103_pred,0.558,0.0
adt_CD102_pred,0.827,0.0
adt_CD106_pred,0.663,0.0
adt_CD105_pred,0.409,0.0
adt_CD66b_pred,0.599,0.0
adt_CD252_pred,0.379,0.0
adt_CD109_pred,0.889,0.0
adt_TCR-V-24-J-18_pred,0.26,5.523e-247
adt_Integrin-7_pred,0.677,0.0
adt_CD158b_pred,0.631,0.0
adt_CD158f_pred,0.405,0.0
adt_CD8a_pred,0.938,0.0
adt_CD203c_pred,0.439,0.0
adt_CD52_pred,0.688,0.0
adt_CD195_pred,0.674,0.0
adt_CD196_pred,0.815,0.0
adt_CD57_pred,0.562,0.0
adt_CD54_pred,0.802,0.0
adt_CD55_pred,0.91,0.0
adt_CD99_pred,0.664,0.0
adt_CD59_pred,0.666,0.0
adt_CD199_pred,0.647,0.0
adt_CD93_pred,0.915,0.0
adt_CD244_pred,0.879,0.0
adt_CD158_pred,0.409,0.0
adt_CD235ab_pred,0.511,0.0
adt_CD273_pred,0.378,0.0
adt_CD243_pred,0.596,0.0
adt_CD325_pred,0.818,0.0
adt_CD324_pred,0.717,0.0
adt_CD307e_pred,0.887,0.0
adt_CD172a_pred,0.924,0.0
adt_CD307d_pred,0.412,0.0
adt_CD42b_pred,0.843,0.0
adt_CD115_pred,0.484,0.0
adt_CD117_pred,0.52,0.0
adt_XCR1_pred,0.314,0.0
adt_CD112_pred,0.67,0.0
adt_MERTK_pred,0.738,0.0
adt_B7-H4_pred,0.268,8.676e-264
adt_CD21_pred,0.909,0.0
adt_CD307c/FcRL3_pred,0.508,0.0
adt_CLEC2_pred,0.871,0.0
adt_CD48_pred,0.764,0.0
adt_CD47_pred,0.719,0.0
adt_CD46_pred,0.696,0.0
adt_CD41_pred,0.888,0.0
adt_CD40_pred,0.542,0.0
adt_CD43_pred,0.807,0.0
adt_CD338_pred,0.641,0.0
adt_CD235a_pred,0.689,0.0
adt_CD335_pred,0.771,0.0
adt_CD3-2_pred,0.924,0.0
adt_CD119_pred,0.847,0.0
adt_CD169_pred,0.74,0.0
adt_CD28_pred,0.843,0.0
adt_CD161_pred,0.724,0.0
adt_CD163_pred,0.708,0.0
adt_CD138-1_pred,0.704,0.0
adt_CD164_pred,0.708,0.0
adt_CD138-2_pred,0.647,0.0
adt_CD144_pred,0.642,0.0
adt_CD202b_pred,0.674,0.0
adt_CD11c_pred,0.926,0.0
